CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2026,renta_2026,score_total
11,901,Benalup-Casas Viejas,Cádiz,7164.0,,0.6004424618626196
41,098,Villanueva del Ariscal,Sevilla,6904.0,13.878,0.6000542379831856
11,037,Trebujena,Cádiz,6978.0,,0.5986470455521863
10,180,Talayuela,Cáceres,6950.0,,0.5983767678280351
41,010,Almensilla,Sevilla,6727.0,13.878,0.5983456966555152
23,088,Torreperogil,Jaén,6914.0,,0.5980292678969834
11,029,Puerto Serrano,Cádiz,6824.0,,0.5971605180693544
16,190,San Clemente,Cuenca,6781.0,13.913,0.596745448707265
12,011,Almenara,Castellón/Castelló,6640.0,,0.5953844073106462
15,092,Vimianzo,"Coruña, A",6502.0,,0.5940523242416151
04,101,Viator,Almería,6337.0,,0.5924596162242953
16,134,Motilla del Palancar,Cuenca,6104.0,13.913,0.5902105194483225
26,018,Arnedo,"Rioja, La",15365.0,15.589,0.5780154370561743
19,024,Alovera,Guadalajara,13732.0,15.572,0.5632828958829841
50,067,Calatayud,Zaragoza,19720.0,16.55,0.5618030065410038
49,219,Toro,Zamora,8001.0,14.917,0.5476651542250867
26,084,Lardero,"Rioja, La",12169.0,15.589,0.5471651653994822
22,112,Fraga,Huesca,15564.0,16.178,0.5442345614355792
19,058,Cabanillas del Campo,Guadalajara,11692.0,15.572,0.5435912331233934
27,902,Burela,Lugo,9382.0,15.248,0.5409323295016053
32,058,"Pereiro de Aguiar, O",Ourense,6723.0,14.928,0.5346621502072375
26,168,Villamediana de Iregua,"Rioja, La",9411.0,15.589,0.5205428095705846
08,147,Olesa de Montserrat,Barcelona,24756.0,18.044,0.5198567349227088
43,133,Roquetes,Tarragona,8201.0,15.475,0.51577297232863
08,076,Esparreguera,Barcelona,22819.0,18.044,0.5011593080769603
19,319,Villanueva de la Torre,Guadalajara,6656.0,15.572,0.49497985387961946
17,089,Llagostera,Girona,9488.0,16.094,0.4906758901223453
08,221,Sant Just Desvern,Barcelona,21705.0,18.044,0.49040611576608567
08,112,Manlleu,Barcelona,21525.0,18.044,0.4886686161108277
25,019,Almacelles,Lleida,6919.0,15.78,0.48491077531077903
08,046,Cardedeu,Barcelona,19257.0,18.044,0.4667761204545768
17,193,Sils,Girona,6880.0,16.094,0.46550145067282933
07,008,Binissalem,"Balears, Illes",9736.0,16.779,0.4515490350017736
08,041,Canovelles,Barcelona,17546.0,18.044,0.4502602209537632
08,006,Arenys de Mar,Barcelona,16722.0,18.044,0.4423063336430266
50,252,Tauste,Zaragoza,6745.0,16.55,0.43655823972448937
08,072,Corbera de Llobregat,Barcelona,15865.0,18.044,0.43403390472882597
08,197,Sant Andreu de Llavaneres,Barcelona,12123.0,18.044,0.3979132174511846
28,172,Villalbilla,Madrid,17942.0,19.096,0.3903165564022274
28,177,Villanueva del Pardillo,Madrid,17896.0,19.096,0.3898725287125504
08,155,Palafolls,Barcelona,10084.0,18.044,0.37823120746745637
08,267,Sentmenat,Barcelona,9866.0,18.044,0.3761269023294217
08,209,Sant Fost de Campsentelles,Barcelona,9347.0,18.044,0.3711171116567611
08,214,Vilassar de Dalt,Barcelona,9267.0,18.044,0.3703448895877576
08,091,Gelida,Barcelona,8201.0,18.044,0.36005503051828514
